Leaf,N. photos,Notes,Width,Length,Perimeter,Weight,Area,,Dataset size:
349,11,wavy surface; no eating holes; under sunlight,5.1,6.4,22.0,0.161,21.46666667,,
350,16,wavy surface; eating holes in the edge; under shade,4.6,6.5,21.5,0.153,20.4,,
351,14,wavy surface; no eating holes; under sunlight,4.5,6.0,20.0,0.135,18,,
352,12,wavy surface; eating holes in the edge; under sunlight,4.7,6.5,22.0,0.155,20.66666667,,
353,16,flat surface; no eating holes; under sunlight,4.7,7.2,23.5,0.178,23.73333333,,
354,12,flat surface; no eating holes; under sunlight,4.6,6.8,22.0,0.154,20.53333333,,
355,14,flat surface; eating holes in the edge; under sunlight,5.5,7.9,27.0,0.213,28.4,,
356,12,wavy surface; eating holes in the edge; under shade,5.3,6.9,23.0,0.176,23.46666667,,
357,12,wavy surface; eating holes in the edge; under sunlight,4.8,6.0,21.5,0.154,20.53333333,,
358,13,wavy surface; no eating holes; under shade,5.0,7.0,23.5,0.180,24,,
359,13,wavy surface; no eating holes; under sunlight,5.0,6.7,22.5,0.167,22.26666667,,
360,11,wavy surface; eating holes in the edge; under shade,5.4,6.9,25.0,0.194,25.86666667,,
361,15,wavy surface; no eating holes; under sunlight,5.3,7.0,24.5,0.184,24.53333333,,
362,11,wavy surface; no eating holes; under sunlight,5.1,6.7,22.5,0.172,22.93333333,,
363,15,flat surface; no eating holes; under sunlight,4.8,6.6,21.0,0.151,20.13333333,,
364,15,flat surface; no eating holes; under shade,4.9,7.0,22.5,0.176,23.46666667,,
365,11,wavy surface; eating holes in the edge; under sunlight,5.3,6.8,23.0,0.178,23.73333333,,
366,15,flat surface; no eating holes; under shade,5.7,7.6,25.5,0.208,27.73333333,,
367,12,wavy surface; no eating holes; under shade,4.8,6.6,22.0,0.160,21.33333333,,
368,9,wavy surface; no eating holes; under shade,4.9,7.0,23.5,0.170,22.66666667,,
369,9,wavy surface; no eating holes; under shade,6.0,7.8,27.0,0.234,31.2,,
370,10,wavy surface; no eating holes; under shade,5.8,8.0,26.5,0.221,29.46666667,,
371,11,flat surface; no eating holes; under shade,5.6,7.3,26.0,0.205,27.33333333,,
372,11,flat surface; no eating holes; under shade,5.1,6.9,24.0,0.176,23.46666667,,
373,13,wavy surface; no eating holes; under shade,6.2,8.1,28.0,0.247,32.93333333,,
374,13,flat surface; no eating holes; under shade,5.7,8.0,26.5,0.222,29.6,,
375,10,wavy surface; no eating holes; under shade,6.1,7.9,27.0,0.247,32.93333333,,
376,9,wavy surface; no eating holes; under shade,5.8,7.4,25.0,0.204,27.2,,
377,13,wavy surface; no eating holes; under shade,5.7,7.5,25.0,0.213,28.4,,
378,13,flat surface; no eating holes; under shade,5.5,7.2,24.0,0.198,26.4,,
379,10,wavy surface; no eating holes; under shade,6.0,7.9,26.0,0.240,32,,
380,12,wavy surface; no eating holes; under shade,5.5,7.5,25.0,0.204,27.2,,
381,15,flat surface; no eating holes; under shade,6.4,8.6,29.5,0.268,35.73333333,,
382,13,flat surface; eating holes in the edge; under shade,6.2,7.2,25.5,0.220,29.33333333,,
383,13,wavy surface; no eating holes; under shade,6.3,8.9,30.0,0.275,36.66666667,,
384,12,flat surface; no eating holes; under shade,5.8,8.3,27.0,0.237,31.6,,
385,13,wavy surface; no eating holes; under sunlight,5.5,7.6,25.5,0.210,28,,
386,10,wavy surface; no eating holes; under sunlight,5.6,7.1,25.0,0.207,27.6,,
387,11,wavy surface; no eating holes; under sunlight,5.4,7.5,24.5,0.192,25.6,,
388,14,wavy surface; no eating holes; under shade,6.2,7.9,27.5,0.251,33.46666667,,
389,12,flat surface; no eating holes; under shade,5.2,7.5,24.5,0.186,24.8,,
390,12,wavy surface; no eating holes; under shade,5.6,7.7,26.0,0.212,28.26666667,,
391,12,wavy surface; no eating holes; under shade,6.3,7.8,26.5,0.235,31.33333333,,
392,14,wavy surface; no eating holes; under shade,6.5,8.6,29.0,0.270,36,,
393,13,wavy surface; no eating holes; under sunlight,6.1,7.8,25.5,0.228,30.4,,
394,14,flat surface; no eating holes; under sunlight,5.8,8.2,26.0,0.244,32.53333333,,
395,13,wavy surface; no eating holes; under sunlight,5.7,7.3,25.0,0.212,28.26666667,,
396,11,wavy surface; no eating holes; under sunlight,6.1,8.4,27.0,0.254,33.86666667,,
397,13,wavy surface; no eating holes; under sunlight,6.0,8.5,26.5,0.239,31.86666667,,
398,11,wavy surface; no eating holes; under sunlight,5.8,7.9,26.0,0.218,29.06666667,,
399,12,wavy surface; no eating holes; under shade,6.2,9.5,28.5,0.273,36.4,,
400,12,flat surface; eating holes in the edge; under sunlight,6.0,8.5,27.0,0.251,33.46666667,,
401,10,wavy surface; no eating holes; under shade,6.4,9.0,29.0,0.254,33.86666667,,
402,11,wavy surface; no eating holes; under sunlight,6.1,8.0,28.0,0.236,31.46666667,,
403,11,wavy surface; no eating holes; under sunlight,5.9,8.1,26.5,0.249,33.2,,
404,10,wavy surface; no eating holes; under shade,5.9,8.2,26.5,0.227,30.26666667,,
405,13,wavy surface; no eating holes; under shade,5.6,8.0,26.0,0.218,29.06666667,,
406,13,wavy surface; no eating holes; under sunlight,5.5,8.1,25.0,0.216,28.8,,
407,10,wavy surface; no eating holes; under sunlight,5.3,7.7,24.5,0.200,26.66666667,,
408,11,wavy surface; no eating holes; under sunlight,4.6,6.7,22.5,0.161,21.46666667,,
409,10,flat surface; eating holes in the edge; under sunlight,5.4,7.5,25.5,0.205,27.33333333,,
410,11,wavy surface; no eating holes; under sunlight,5.3,7.9,24.5,0.208,27.73333333,,
411,11,wavy surface; no eating holes; under sunlight,5.6,7.6,26.0,0.212,28.26666667,,
412,11,wavy surface; no eating holes; under sunlight,5.5,7.5,24.0,0.205,27.33333333,,
413,13,wavy surface; no eating holes; under sunlight; insect on surface,5.9,7.8,26.0,0.237,31.6,,
414,12,flat surface; no eating holes; under shade; insect on surface,5.5,7.7,25.0,0.217,28.93333333,,
415,15,wavy surface; eating holes in the edge; under cloudy sky,6.5,8.8,30.0,0.292,38.93333333,,
416,11,wavy surface; no eating holes; under cloudy sky; insect on surface,5.8,8.8,28.5,0.260,34.66666667,,
417,12,wavy surface; no eating holes; under cloudy sky,5.2,7.4,24.0,0.193,25.73333333,,
418,14,flat surface; no eating holes; under cloudy sky,5.4,7.9,25.5,0.215,28.66666667,,
419,13,wavy surface; no eating holes; under cloudy sky,5.2,7.2,23.0,0.180,24,,
420,13,wavy surface; eating holes in the edge; eating holes in the center; under cloudy sky,5.1,7.6,23.5,0.185,24.66666667,,
421,11,flat surface; no eating holes; under cloudy sky,5.5,7.1,24.0,0.190,25.33333333,,
422,11,wavy surface; no eating holes; under cloudy sky,5.3,7.2,24.0,0.196,26.13333333,,
423,11,wavy surface; eating holes in the center; under cloudy sky; insect on surface,5.6,7.7,25.5,0.224,29.86666667,,
424,12,wavy surface; no eating holes; under cloudy sky,5.9,7.5,24.5,0.203,27.06666667,,
425,10,wavy surface; no eating holes; under cloudy sky,6.1,7.9,26.0,0.225,30,,
426,10,wavy surface; no eating holes; under cloudy sky,5.5,7.1,24.5,0.191,25.46666667,,
427,15,wavy surface; no eating holes; under cloudy sky,6.2,8.8,28.0,0.257,34.26666667,,
428,9,wavy surface; no eating holes; under cloudy sky,5.7,7.9,26.5,0.220,29.33333333,,
429,13,wavy surface; no eating holes; under sunlight,5.9,8.1,28.0,0.245,32.66666667,,
430,12,wavy surface; no eating holes; under cloudy sky,5.8,7.6,25.0,0.212,28.26666667,,
431,13,wavy surface; eating holes in the center; under shade,5.9,7.9,26.0,0.225,30,,
432,11,wavy surface; no eating holes; under shade; insect on surface,6.2,7.9,26.5,0.248,33.06666667,,
433,11,flat surface; no eating holes; under shade,5.3,7.5,24.0,0.204,27.2,,
434,10,wavy surface; eating holes in the edge; under shade; insect on surface,5.6,7.7,24.5,0.210,28,,
435,9,wavy surface; no eating holes; under shade,5.8,8.1,27.5,0.232,30.93333333,,
